station;heure;temperature;humidity
cimeti re;2025-05-06 17:00:00;23.722692708730705;37.91383738968999
cimeti re;2025-05-06 18:00:00;23.717797105872183;37.892729076066225
cimeti re;2025-05-06 19:00:00;23.654154268711377;37.92807914346024
cimeti re;2025-05-06 20:00:00;23.582055390249483;38.1091528699677
cimeti re;2025-05-06 21:00:00;23.488148826326903;38.37287963174894
cimeti re;2025-05-06 22:00:00;23.392016988377716;38.62973983367666
cimeti re;2025-05-06 23:00:00;23.33861041173928;38.84870679789425
cimeti re;2025-05-07 00:00:00;23.38756644032451;38.84565499351492
cimeti re;2025-05-07 01:00:00;23.36842908369573;38.83726253147173
cimeti re;2025-05-07 02:00:00;23.31235217822538;38.8804964268457
cimeti re;2025-05-07 03:00:00;23.279863177436997;38.90262200859592
cimeti re;2025-05-07 04:00:00;23.27318735535719;38.90414791078559
cimeti re;2025-05-07 05:00:00;23.24425879301137;38.87057806261285
cimeti re;2025-05-07 06:00:00;23.205093970143178;38.79733475750871
cimeti re;2025-05-07 07:00:00;23.234912642099644;38.706543577223364
cimeti re;2025-05-07 08:00:00;23.607868568958068;38.61066605630579
cimeti re;2025-05-07 09:00:00;23.82060476590117;38.22639302154065
cimeti re;2025-05-07 10:00:00;23.90293990488543;38.02344803031459
cimeti re;2025-05-07 11:00:00;23.98928053711757;37.86449988555734
cimeti re;2025-05-07 12:00:00;24.091643142341244;37.609419902850895
cimeti re;2025-05-07 13:00:00;24.1410442257318;37.58602273594263
cimeti re;2025-05-07 14:00:00;24.019099209074028;37.98987818214186
cimeti re;2025-05-07 15:00:00;23.878906945398132;38.32583098090079
cimeti re;2025-05-07 16:00:00;23.764082805625492;38.82632689911243
cimeti re;2025-05-07 17:00:00;23.689313598331683;39.48246484067038
cimeti re;2025-05-07 18:00:00;23.628786144808117;39.918364232852674
cimeti re;2025-05-07 19:00:00;23.55001144426642;40.043742529437196
cimeti re;2025-05-07 20:00:00;23.461890592813003;40.234988937209124
cimeti re;2025-05-07 21:00:00;23.39157193357239;40.418860151064315
cimeti re;2025-05-07 22:00:00;23.32347854835838;40.583403270517024
cimeti re;2025-05-07 23:00:00;23.251379669896494;40.69326822817324
cimeti re;2025-05-08 00:00:00;23.153467612726022;40.84102642353958
cimeti re;2025-05-08 01:00:00;23.08314895348542;40.920881971465626
cimeti re;2025-05-08 02:00:00;23.02751710282038;40.900027974873474
cimeti re;2025-05-08 03:00:00;22.985236896314948;40.85501386027822
cimeti re;2025-05-08 04:00:00;22.913138017853054;40.851199104804046
cimeti re;2025-05-08 05:00:00;22.863736934462498;40.83975483838152
cimeti re;2025-05-08 06:00:00;22.929159990844582;40.70929020116477
cimeti re;2025-05-08 07:00:00;22.983011622288345;40.440985732814525
cimeti re;2025-05-08 08:00:00;23.095610488034385;40.018310826276036
cimeti re;2025-05-08 09:00:00;23.359973042394653;39.75916177106381
cimeti re;2025-05-08 10:00:00;23.509066402176952;39.53663436840366
cimeti re;2025-05-08 11:00:00;23.640357569746442;39.61470969710842
cimeti re;2025-05-08 12:00:00;23.82015971109585;39.03842730347651
cimeti re;2025-05-08 13:00:00;23.936764070089776;38.57099259937438
cimeti re;2025-05-08 14:00:00;24.119681595076425;38.31769283588921
cimeti re;2025-05-08 15:00:00;24.244296940566112;38.032349126420996
cimeti re;2025-05-08 16:00:00;24.339983723709977;37.732763663182524
cimeti re;2025-05-08 17:00:00;24.22961013199054;37.25591922891076
cimeti re;2025-05-08 18:00:00;24.066275018437988;37.25388469265787
cimeti re;2025-05-08 19:00:00;23.92474759034612;37.471580071717405
cimeti re;2025-05-08 20:00:00;23.820159711095855;37.8286411841001
cimeti re;2025-05-08 21:00:00;23.733819078863718;38.252333358765036
cimeti re;2025-05-08 22:00:00;23.618549884285752;38.64932224511075
cimeti re;2025-05-08 23:00:00;23.514407059840796;38.96391241321431
cimeti re;2025-05-09 00:00:00;23.41961038630758;39.21136288497241
cimeti re;2025-05-09 01:00:00;23.360418097199968;39.386333002721194
cimeti re;2025-05-09 02:00:00;23.29588515042853;39.472037842374306
cimeti re;2025-05-09 03:00:00;23.302115917703006;39.50967676305282
cimeti re;2025-05-09 04:00:00;23.260280766002904;39.552910658426796
cimeti re;2025-05-09 05:00:00;23.246484067037972;39.53917753871977
cimeti re;2025-05-09 06:00:00;23.234912642099644;39.435416189822234
cimeti re;2025-05-09 07:00:00;23.226011545993234;39.27595941100176
cimeti re;2025-05-09 08:00:00;23.251824724701816;38.87897052465603
cimeti re;2025-05-09 09:00:00;23.298555479260447;38.55420767528801
cimeti re;2025-05-09 10:00:00;23.365758754863815;38.11245899137865
cimeti re;2025-05-09 11:00:00;23.483698278273696;38.16739147020676
cimeti re;2025-05-09 12:00:00;23.59852241804634;38.228427557793545
cimeti re;2025-05-09 13:00:00;23.679967447419955;38.04404770987513
cimeti re;2025-05-09 14:00:00;23.853093766689554;37.921466900638336
cimeti re;2025-05-09 15:00:00;24.011978332188903;37.984791841509626
cimeti re;2025-05-09 16:00:00;24.09475852597848;38.00488288700694
cimeti re;2025-05-09 17:00:00;24.12413214312963;38.17425803006027
cimeti re;2025-05-09 18:00:00;24.27233539330129;38.17502098115511
cimeti re;2025-05-09 19:00:00;24.496197960377405;38.19078863711503
cimeti re;2025-05-09 20:00:00;24.45836830192518;38.43976501106279
cimeti re;2025-05-09 21:00:00;24.204687062892607;38.95373973194985
cimeti re;2025-05-09 22:00:00;23.99595635919738;39.45576155235116
cimeti re;2025-05-09 23:00:00;23.88780804150454;39.63378347447929
cimeti re;2025-05-10 00:00:00;23.80858828615752;39.77670964624501
cimeti re;2025-05-10 01:00:00;23.68263777625187;39.90157930876631
cimeti re;2025-05-10 02:00:00;23.56558836245263;39.9890643676407
cimeti re;2025-05-10 03:00:00;23.52597848477912;39.93540347397065
cimeti re;2025-05-10 04:00:00;23.53354441646957;39.68362961267516
cimeti re;2025-05-10 05:00:00;23.484143333079018;39.58037689784085
cimeti re;2025-05-10 06:00:00;23.392907097988353;39.51705195696956
cimeti re;2025-05-10 07:00:00;23.39913786526284;39.37412578520384
cimeti re;2025-05-10 08:00:00;23.451209277485315;39.237811856260016
cimeti re;2025-05-10 09:00:00;23.524198265557846;39.11370514483355
cimeti re;2025-05-10 10:00:00;23.512181785814203;39.031815060654615
cimeti re;2025-05-10 11:00:00;23.483698278273703;39.05317769130999
cimeti re;2025-05-10 12:00:00;23.485923552300303;39.06589354289057
